24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
24/05/04 10:20:01 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
